iter	Passed	Remaining
0	145	145612
1	150	74864
2	154	51248
3	158	39581
4	163	32574
5	167	27780
6	171	24351
7	175	21767
8	179	19800
9	184	18271
10	189	17025
11	193	15951
12	197	15013
13	202	14257
14	206	13583
15	211	12978
16	215	12445
17	219	11970
18	223	11537
19	228	11179
20	232	10826
21	236	10520
22	241	10247
23	245	9975
24	249	9718
25	254	9532
26	258	9329
27	263	9147
28	267	8965
29	271	8793
30	276	8634
31	280	8499
32	284	8350
33	289	8214
34	293	8082
35	297	7954
36	302	7860
37	306	7751
38	310	7642
39	314	7559
40	319	7464
41	323	7368
42	328	7303
43	333	7247
44	338	7178
45	342	7108
46	347	7041
47	351	6974
48	355	6906
49	360	6858
50	364	6789
51	369	6732
52	373	6670
53	378	6624
54	382	6571
55	386	6517
56	390	6468
57	395	6422
58	399	6370
59	403	6325
60	409	6301
61	413	6255
62	417	6211
63	422	6175
64	426	6130
65	430	6088
66	434	6048
67	439	6022
68	443	5985
69	447	5948
70	451	5912
71	456	5881
72	460	5844
73	464	5808
74	468	5775
75	473	5754
76	477	5725
77	481	5694
78	486	5667
79	491	5647
80	495	5624
81	500	5602
82	505	5581
83	509	5559
84	514	5543
85	520	5526
86	524	5504
87	529	5491
88	535	5477
89	539	5457
90	544	5440
91	549	5424
92	554	5403
93	558	5383
94	563	5366
95	567	5345
96	573	5339
97	578	5320
98	582	5299
99	587	5283
100	592	5272
101	597	5256
102	601	5241
103	606	5226
104	610	5206
105	615	5187
106	620	5181
107	625	5167
108	630	5152
109	635	5140
110	639	5124
111	644	5112
112	649	5099
113	653	5082
114	658	5067
115	663	5056
116	667	5040
117	672	5025
118	677	5012
119	681	4999
120	686	4985
121	690	4972
122	695	4957
123	699	4943
124	705	4936
125	710	4926
126	714	4911
127	719	4901
128	725	4898
129	730	4888
130	735	4876
131	740	4868
132	744	4852
133	748	4835
134	753	4829
135	758	4816
136	762	4802
137	766	4788
138	770	4773
139	774	4760
140	778	4745
141	783	4733
142	787	4721
143	792	4712
144	796	4698
145	801	4686
146	805	4673
147	809	4659
148	813	4646
149	817	4631
150	822	4622
151	826	4608
152	830	4595
153	834	4586
154	839	4574
155	843	4562
156	848	4555
157	852	4543
158	856	4531
159	860	4519
160	865	4511
161	869	4498
162	875	4493
163	879	4482
164	883	4472
165	888	4464
166	893	4454
167	897	4443
168	901	4432
169	905	4420
170	909	4410
171	914	4401
172	918	4390
173	922	4380
174	926	4369
175	931	4361
176	936	4354
177	940	4344
178	944	4334
179	949	4325
180	953	4315
181	958	4306
182	962	4296
183	966	4284
184	970	4277
185	975	4268
186	979	4258
187	983	4249
188	988	4243
189	993	4234
190	998	4228
191	1002	4219
192	1006	4207
193	1010	4198
194	1014	4189
195	1018	4178
196	1023	4170
197	1027	4162
198	1033	4160
199	1038	4155
200	1044	4153
201	1049	4146
202	1053	4136
203	1057	4127
204	1062	4120
205	1066	4111
206	1071	4104
207	1075	4094
208	1080	4088
209	1084	4080
210	1088	4071
211	1092	4061
212	1097	4055
213	1101	4045
214	1105	4037
215	1109	4027
216	1113	4017
217	1118	4011
218	1123	4008
219	1128	4000
220	1133	3995
221	1138	3990
222	1142	3980
223	1147	3975
224	1152	3968
225	1156	3960
226	1160	3951
227	1165	3947
228	1170	3941
229	1175	3934
230	1180	3930
231	1185	3923
232	1189	3914
233	1194	3909
234	1198	3903
235	1202	3894
236	1207	3888
237	1212	3881
238	1216	3872
239	1220	3864
240	1225	3860
241	1229	3852
242	1235	3847
243	1239	3840
244	1243	3833
245	1248	3825
246	1253	3820
247	1257	3812
248	1261	3804
249	1265	3797
250	1270	3791
251	1274	3784
252	1280	3779
253	1284	3773
254	1289	3766
255	1293	3760
256	1298	3753
257	1302	3746
258	1307	3739
259	1311	3734
260	1316	3727
261	1321	3721
262	1326	3717
263	1330	3710
264	1335	3703
265	1339	3697
266	1345	3693
267	1349	3685
268	1354	3679
269	1360	3677
270	1364	3669
271	1369	3664
272	1374	3659
273	1378	3652
274	1382	3645
275	1387	3640
276	1392	3634
277	1396	3627
278	1401	3621
279	1406	3616
280	1410	3610
281	1415	3604
282	1421	3600
283	1425	3594
284	1430	3589
285	1436	3585
286	1440	3579
287	1445	3572
288	1450	3568
289	1455	3563
290	1460	3558
291	1465	3553
292	1470	3548
293	1475	3543
294	1481	3539
295	1485	3533
296	1490	3528
297	1496	3525
298	1502	3523
299	1507	3517
300	1511	3510
301	1517	3506
302	1524	3506
303	1529	3502
304	1535	3498
305	1541	3495
306	1548	3494
307	1553	3490
308	1558	3484
309	1563	3479
310	1567	3473
311	1572	3466
312	1576	3461
313	1581	3455
314	1585	3448
315	1591	3443
316	1595	3438
317	1600	3433
318	1605	3427
319	1610	3422
320	1615	3416
321	1621	3413
322	1625	3407
323	1630	3402
324	1636	3398
325	1641	3392
326	1645	3386
327	1650	3382
328	1655	3376
329	1659	3369
330	1665	3365
331	1669	3359
332	1673	3352
333	1678	3346
334	1688	3351
335	1692	3345
336	1698	3341
337	1702	3335
338	1707	3328
339	1712	3323
340	1716	3317
341	1720	3310
342	1725	3304
343	1729	3298
344	1733	3291
345	1738	3286
346	1743	3280
347	1747	3273
348	1752	3268
349	1756	3261
350	1760	3255
351	1765	3249
352	1770	3244
353	1774	3238
354	1779	3232
355	1783	3227
356	1787	3220
357	1792	3213
358	1796	3208
359	1801	3201
360	1805	3195
361	1809	3189
362	1814	3183
363	1819	3178
364	1823	3172
365	1828	3166
366	1833	3161
367	1837	3155
368	1842	3150
369	1846	3144
370	1850	3138
371	1854	3131
372	1860	3127
373	1865	3121
374	1870	3117
375	1874	3111
376	1879	3105
377	1883	3098
378	1887	3093
379	1892	3087
380	1896	3080
381	1901	3075
382	1907	3072
383	1911	3066
384	1916	3061
385	1921	3055
386	1925	3049
387	1929	3043
388	1934	3037
389	1938	3031
390	1941	3024
391	1946	3018
392	1950	3013
393	1955	3007
394	1959	3001
395	1964	2995
396	1968	2990
397	1973	2984
398	1977	2978
399	1981	2971
400	1986	2966
401	1989	2960
402	1994	2954
403	1998	2948
404	2003	2942
405	2008	2938
406	2013	2933
407	2017	2927
408	2022	2921
409	2026	2915
410	2030	2909
411	2034	2904
412	2039	2899
413	2044	2893
414	2049	2888
415	2053	2882
416	2059	2879
417	2063	2873
418	2068	2867
419	2071	2861
420	2076	2855
421	2080	2849
422	2084	2843
423	2088	2837
424	2092	2831
425	2096	2825
426	2101	2820
427	2105	2814
428	2109	2808
429	2113	2802
430	2118	2796
431	2122	2790
432	2126	2784
433	2130	2778
434	2134	2772
435	2138	2766
436	2143	2761
437	2148	2756
438	2152	2750
439	2157	2745
440	2161	2739
441	2165	2733
442	2170	2729
443	2174	2723
444	2178	2716
445	2182	2710
446	2186	2705
447	2191	2699
448	2195	2694
449	2199	2688
450	2204	2683
451	2208	2677
452	2213	2672
453	2217	2666
454	2221	2661
455	2225	2654
456	2230	2650
457	2234	2644
458	2238	2638
459	2243	2633
460	2247	2627
461	2252	2622
462	2256	2617
463	2260	2611
464	2265	2606
465	2270	2601
466	2274	2595
467	2278	2589
468	2283	2585
469	2288	2580
470	2292	2574
471	2296	2569
472	2301	2564
473	2305	2558
474	2309	2553
475	2313	2547
476	2318	2542
477	2322	2536
478	2326	2530
479	2331	2525
480	2335	2520
481	2339	2514
482	2343	2508
483	2348	2503
484	2352	2498
485	2356	2492
486	2361	2487
487	2365	2482
488	2369	2476
489	2373	2470
490	2378	2466
491	2383	2460
492	2387	2455
493	2393	2451
494	2397	2446
495	2402	2440
496	2406	2436
497	2411	2431
498	2415	2425
499	2421	2421
500	2426	2416
501	2431	2411
502	2435	2406
503	2446	2407
504	2450	2401
505	2455	2396
506	2459	2391
507	2464	2386
508	2468	2381
509	2473	2376
510	2476	2370
511	2481	2365
512	2485	2359
513	2489	2354
514	2494	2348
515	2499	2344
516	2503	2339
517	2508	2334
518	2514	2330
519	2518	2324
520	2522	2319
521	2527	2314
522	2531	2309
523	2535	2303
524	2540	2298
525	2546	2294
526	2550	2289
527	2556	2285
528	2561	2280
529	2566	2275
530	2570	2270
531	2575	2265
532	2579	2260
533	2584	2255
534	2589	2250
535	2593	2245
536	2598	2240
537	2603	2235
538	2609	2231
539	2613	2226
540	2617	2221
541	2622	2216
542	2627	2211
543	2631	2205
544	2636	2200
545	2640	2195
546	2644	2189
547	2648	2184
548	2653	2179
549	2657	2174
550	2662	2169
551	2666	2164
552	2670	2158
553	2676	2154
554	2681	2150
555	2685	2144
556	2690	2139
557	2700	2138
558	2704	2133
559	2708	2128
560	2713	2123
561	2718	2118
562	2723	2114
563	2729	2109
564	2733	2104
565	2738	2099
566	2742	2094
567	2747	2089
568	2752	2084
569	2757	2080
570	2762	2075
571	2767	2070
572	2772	2066
573	2777	2061
574	2781	2056
575	2786	2051
576	2791	2046
577	2796	2041
578	2802	2037
579	2807	2032
580	2811	2027
581	2818	2024
582	2824	2019
583	2829	2015
584	2833	2010
585	2844	2009
586	2849	2004
587	2853	1999
588	2858	1994
589	2863	1989
590	2867	1984
591	2872	1979
592	2877	1975
593	2881	1969
594	2886	1964
595	2890	1959
596	2894	1953
597	2899	1948
598	2903	1943
599	2907	1938
600	2912	1933
601	2916	1928
602	2922	1923
603	2926	1919
604	2931	1914
605	2936	1909
606	2941	1904
607	2946	1899
608	2950	1894
609	2955	1889
610	2960	1884
611	2965	1880
612	2970	1875
613	2974	1870
614	2981	1866
615	2986	1861
616	2990	1856
617	2994	1851
618	2999	1846
619	3007	1843
620	3014	1839
621	3019	1834
622	3023	1829
623	3027	1824
624	3032	1819
625	3036	1814
626	3041	1809
627	3047	1804
628	3051	1799
629	3055	1794
630	3060	1789
631	3065	1785
632	3071	1780
633	3075	1775
634	3081	1771
635	3085	1765
636	3089	1760
637	3095	1756
638	3099	1751
639	3103	1745
640	3114	1744
641	3119	1739
642	3124	1734
643	3129	1729
644	3133	1724
645	3138	1720
646	3143	1715
647	3148	1710
648	3152	1705
649	3157	1699
650	3161	1695
651	3166	1690
652	3171	1685
653	3175	1680
654	3180	1675
655	3184	1669
656	3189	1664
657	3193	1659
658	3197	1654
659	3202	1649
660	3207	1644
661	3211	1639
